"project","scatteredVocabulary","confetti","homogeneous","intruder","snowFlakes","nearlyHomogeneous","fatBlob","tokens","classes","packages","maxDepth","maxChildren","maxChildrenRoot","maxDepthRoot","averageDepth","averageChildren","monoClasses","monoTokenClasses","multiTokenClasses","averageTokensPerMultiHierarchy","suspisciousTokens","hierarchies","multiTokenHierarchies","monoTokenMaxChildren","multiTokenMaxChildren"
"guice","0","0","87.5","0","20.496894409937887","12.5","0.6211180124223602","161","419","42","3","8","InternalErrorDetail","BindingImpl","2","2","91.8854415274463","5.966587112171838","2.1479713603818613","2.0","4.3478260869565215","8","12.5","8","8"
"halo","12.5","0.7633587786259541","83.33333333333334","0.7633587786259541","14.50381679389313","4.166666666666666","0","131","400","82","4","24","BaseEntity","BasePostMinimalDTO","2","8","71.0","18.75","10.25","8.5","27.480916030534353","24","16.666666666666664","23","24"
"plantuml","30.48780487804878","0","58.536585365853654","0.27297543221110104","8.007279344858963","10.975609756097562","0.7279344858962694","1099","2315","228","7","220","SingleLineCommand","AbstractPSystem","3","32","49.28725701943845","24.70842332613391","26.004319654427643","19.555555555555557","39.85441310282074","82","41.46341463414634","220","159"
"keycloak","9.565217391304348","0","83.47826086956522","0.2258610954263128","16.37492941840768","6.956521739130435","0.5081874647092038","1771","4744","776","11","452","AbstractKeycloakTest","AbstractPage","4","38","61.76222596964587","27.82462057335582","10.413153456998314","14.166666666666666","15.41501976284585","230","16.52173913043478","452","199"
"DataX","4.0","0","96.0","0","7.033639143730887","0","0","327","460","164","3","61","BaseObject","AbstractScheduler","2","10","70.43478260869566","16.08695652173913","13.478260869565217","6.0","9.785932721712538","25","4.0","6","61"
"wechat","25.0","0","75.0","0","30.508474576271187","0","0","59","234","27","3","21","BaseActivity","BaseActivity","2","6","83.76068376068376","11.538461538461538","4.700854700854701","4.0","5.084745762711865","4","25.0","21","10"
"optaplanner","4.615384615384616","0","95.38461538461539","0","12.71617497456765","0","0.20345879959308238","983","1883","732","5","148","AbstractPersistable","AbstractFromConfigFactory","3","24","61.55071694105151","22.729686670207116","15.719596388741369","26.666666666666668","15.869786368260428","65","4.615384615384616","44","148"
"jenkins","16.901408450704224","0","73.23943661971832","0.18018018018018017","15.315315315315313","9.859154929577464","0.18018018018018017","555","1437","123","7","42","AbstractDescribableImpl","AbstractModelObject","3","10","75.85247042449548","12.804453723034099","11.343075852470424","8.25","17.47747747747748","71","26.76056338028169","13","42"
"sonarqube","9.30232558139535","0","82.17054263565892","0.10030090270812438","26.730190571715145","8.527131782945736","0.25075225677031093","1994","6075","645","3","353","DdlChange","CommonRule","2","37","82.07407407407408","8.460905349794238","9.465020576131687","6.0","9.17753259779338","129","17.829457364341085","76","353"
"arthas","5.555555555555555","0","77.77777777777779","0","16.666666666666664","16.666666666666664","0.5555555555555556","180","474","93","3","44","ResultModel","AdviceListenerAdapter","2","12","70.88607594936708","25.949367088607595","3.1645569620253164","2.0","1.6666666666666667","18","22.22222222222222","44","8"
